Sample_number,deg_N_lat_37,deg_W_long_107,Elevation_m,d18O,temp,Sanidine_alteration,Alteration_facies
SC-1,56.48,26.35,3719,0.8,,15A,IV
SC-4,56.34,26.31,3783,4.5,,100AQ,II
SC-6,56.3,26.3,3792,2.1,,100Q,II
SC-11,55.93,26.28,4094,3.5,,50AQ,III
SC-12,56.29,26.24,3728,1.3,,100AQ,II
SC-14,56.23,26,3685,1.7,,,
SC-19,56.43,25.26,4278,5.3,,10A,V
SC-21,56.62,25.24,4221,5.9,,TURBID,V
SC-26,56.67,27.4,3920,4.6,,15A,IV
SC-27,56.96,27.43,3840,2.9,,40A,IV
SC-33,56.98,27.29,3731,2,,30A,IV
SC-35,57.24,26.94,3975,1.3,,10A,HORNFELSED
SC-38,57.47,26.6,3999,1.3,,40A,HORNFELSED
SC-39,57.54,26.45,3950,10.4,,100Q,I
SC-40,57.31,26.19,3706,2.2,,10AQ,HORNFELSED
SC-41,57.16,26.07,3597,8.5,,100Q,I
SC-45,56.96,25.93,3658,3,,5A,HORNFELSED
SC-50,57.33,25.69,3795,3.3,,15A,IV
SC-64,57.6,27.82,3536,3.5,,90AQ,III
SC-68,57.66,29.43,3926,-0.9,,40CC,CHLORITE
SC-69,57.68,29.28,3901,0.7,,10AQ,III
SC-71,57.54,28.61,4039,0.4,,20CC,CHLORITE
SC-72,58,28.17,4057,1.6,,50AQ,III
SC-81,55.15,23.1,3097,3.8,,10A,IV
SC-83,54.65,23,2926,1.8,,10A,IV
SC-121,56.95,23.2,4051,6.5,,TURBID,V
SC-122,57.28,22.67,4210,6.9,,TURBID,V
SC-123,56.93,22.69,3962,7.5,,TURBID,V
SC-124,56.64,22.32,3805,6.9,,TURBID,V
SC-129,55.21,22.18,3170,7.3,,FRESH,V
SC-135,56.19,25.31,4246,4.4,,5A,IV
SC-136,55.88,28.61,4219,4.8,,20A,IV
SC-137,55.59,25.47,4228,4.9,,30A,IV
SC-138,55.37,25.36,4268,5.3,,TURBID,V
SC-139,55.33,25.77,4084,5.5,,30A,IV
SC-140,55.61,26,3993,3.4,,,
SC-141,55.57,26.18,3901,4.1,,5A,V
SC-142,55.4,26.47,3627,2.1,,20ACCC,CHLORITE
SC-144,55.29,26.79,3267,1.5,,60CCC,CHLORITE
SC-151,58.12,24.93,4127,3,,60AQ,III
SC-155,57.71,25.65,4008,1.6,,100AQ,II
SC-159,57.7,26.15,4081,2.3,,30AQ,III
SC-160,58.57,27.13,3932,1.4,,50AQ,III
SC-168,57.92,27.89,3810,2.1,,25A,III
SC-169,57.73,27.86,3679,2.4,,50CCC,CHLORITE
SR-4,55.63,24.85,3146,0.5,,20CCCA,CHLORITE
SR-26,56.63,28.49,3240,-0.5,,15A,HORNFELSED
AG-1,56.15,23.63,3304,0.1,,10A,IV
AG-3,56.01,23.82,3389,2.3,,15A,HORNFELSED
AG-9,57.04,21.89,2963,0.1,,5A,HORNFELSED
AG-11,59.86,21.71,2874,-1.6,,5A,HORNFELSED
RM-40,57.58,21.1,3880,6.3,,15A,IV
RM-41,57.58,21.5,3917,6.7,,10A,IV
RM-42,57.43,21.57,3920,5.9,,10AQ,IV
RM-43,57.1,21.38,3719,6.6,,5A,V
RM-44,56.89,21.21,3612,6.5,,5A,V
RM-46,56.39,21.36,3292,6.6,,TURBID,V
RM-48,55.85,20.93,3048,7.1,,10A,IV
RM-57,59.21,21.41,3368,6.6,,100AQS,II
RM-60,58.86,21.53,3139,2.6,,75ACC,CHLORITE
HC-48,59.36,27.11,3709,2.9,,5A,IV
HC-49,59.19,27.24,3770,3.7,,100Q,I
HC-53,59.41,26.47,3542,0.5,,10A,IV
HC-60,59.37,22.45,3341,6.2,,10AQ,IV
HC-64,59.93,23.14,3792,2.3,,95A,III
HC-66,59.7,23.88,3999,3.1,,40A,IV
HC-67,59.51,24.04,3962,2.7,,15A,IV
HC-69,59.11,24.38,3865,3.3,,10A,HORNFELSED
HC-76,58.56,23.13,3475,1.8,,5A,HORNFELSED
HC-78,58.36,23.19,3658,1.4,,10A,HORNFELSED
HC-83,57.8,23.6,3920,2.1,,15A,III
HC85,57.52,23.68,3926,3.6,,70A,III
HC-86,57.43,23.75,3908,4.1,,80CCA,CHLORITE
HC-87,57.42,23.77,3908,4,,30A,III
HC-89,57.57,23.29,3652,3.1,,10A,III
HC-96,58.96,28.34,3444,0.2,,15CCA,CHLORITE
2-6-14A,60.07,25.1,3825,2.2,,,
2-6-28A,60.38,23.46,3731,6.3,,,
5-2-122E,57.1,24.42,4118,7.5,,,
RC4-55A,57.49,22.86,3990,6.7,,,
RC4-30A,57.09,24.15,4121,6.9,,,
RC4-12A,57.44,22.45,4090,7.1,,,
RC4-27A,56.94,23.98,4161,6.4,,,
RC4-28A,57,24.05,4161,7.1,,,
RC4-30C,57.09,24.15,4121,6.8,,,
RC4-22A,56.9,23.57,4115,5.6,,,
RC4-24A,56.83,23.84,4206,6.5,,,
RC4-2A,57.33,22.8,4182,6.5,,,
RC2-64A,59.23,24.28,3908,3.1,,,
RC2-3A,58.51,24.09,3536,2.6,,,
