d18O,Long,Lat,Elevation,Formation
2.6,-107.752074519581,37.979195185631,3455,SJ
0.2,-107.756916917062,37.9787158918117,3294,SJ
-0.1,-107.758306762305,37.9787447263976,3267,SJ
2,-107.759792630663,37.9769676843655,3350,SJ
1.5,-107.761669579191,37.9763372646101,3472,SJ-D
1.3,-107.764502268867,37.975751056012,3535,SJ
1.6,-107.768111627087,37.9789140074971,3426,DO
3.4,-107.768683656363,37.9795848795324,3514,SJ
3.7,-107.767914945648,37.9810093832176,3598,DO
4.3,-107.767683466914,37.9811219138431,3589,SJ
3.4,-107.764428966734,37.9805229059569,3355,DO
-0.2,-107.763911440245,37.9800176497559,3331,SJ
0.1,-107.763471406432,37.9796014754014,3321,SJ
5.3,-107.763547740604,37.9804752910957,3327,G
2.9,-107.763330272982,37.9801519467659,3314,G-D
2.9,-107.762830703229,37.9806059346234,3302,G
4.5,-107.762718760911,37.9810134754145,3296,G
5.4,-107.760556202469,37.9809593715907,3280,G
4.9,-107.761217947314,37.9818999103139,3291,G
2.7,-107.758615806456,37.9826716848448,3431,G
-0.2,-107.75500723488,37.9835616388385,3644,SJ-D
-1.1,-107.757148198808,37.9847901680131,3610,DO
2.5,-107.75723930357,37.9844139051009,3529,SJ
3.2,-107.759624584575,37.9860626639879,3459,G
4.5,-107.757568292802,37.9869854666793,3582,DO
2.6,-107.760024647337,37.9857922023388,3435,G
2,-107.760174473848,37.9859261912318,3435,DI
3.3,-107.760313152532,37.9858221066888,3429,DI
2.7,-107.760464163694,37.9858388189372,3425,DI
2.7,-107.760951462619,37.9863677978982,3419,DI
1.3,-107.761661032784,37.9863544475207,3406,DI
1.4,-107.762508290073,37.9876159348797,3439,G
2.8,-107.764113750262,37.985940075269,3395,DI
2.6,-107.772312566939,37.9814093827491,3750,P
-1.1,-107.770397660553,37.9890538869741,3461,SJ
2.2,-107.771680166746,37.9825647819635,3870,DO
3,-107.770864183796,37.9828319053958,3831,DP
3.3,-107.76990540398,37.9833845462101,3739,DO
3.3,-107.76945064513,37.983743914382,3693,DO
3.5,-107.767783317528,37.9844610001548,3585,GP
5.7,-107.766122765015,37.9842567944198,3470,G
5,-107.765419448713,37.9868262135003,3432,G
4.7,-107.766930143834,37.9846316835854,3538,GP
4.1,-107.768070759458,37.9849254808667,3571,GP
2.6,-107.767830239505,37.9852715860836,3548,GP
3.5,-107.768132367815,37.9856177924975,3540,GP
1.6,-107.768182976478,37.9859029103595,3534,GP
1.3,-107.769170727636,37.9863443548485,3528,P
1.7,-107.770053885232,37.9856966010338,3560,P
1.7,-107.768877895302,37.9870946207066,3482,SJ
2.7,-107.770808927439,37.9859202633185,3548,SJ
5.8,-107.771270636365,37.9858454255962,3564,DO
5.9,-107.772390414083,37.9852116791444,3636,DO
1.6,-107.772108317611,37.9867696356576,3528,SJ
2.3,-107.774754579511,37.9918013984716,3586,G
3.7,-107.777213488578,37.9944840540859,3651,G
3.5,-107.773554194064,37.9925410867236,3571,G
4.5,-107.772139439934,37.9934032350287,3616,G
2.1,-107.768182566308,37.9932798834116,3629,QM
2.9,-107.769982269352,37.9947301933044,3688,SJ
2.3,-107.76677955868,37.990416230955,3529,R
3.1,-107.764069142787,37.9917224794193,3657,SJ
3.4,-107.762819503162,37.9919566086487,3682,G
2.4,-107.761130038948,37.9946767021577,3817,SJ
5,-107.758868842928,37.9905741765148,3684,G
5.3,-107.759263417919,37.9902032515455,3652,G
4.4,-107.759945270669,37.9892588053178,3555,G
5.9,-107.759271852173,37.9888089257865,3530,G
1,-107.759036756389,37.988402315564,3546,SJ
-0.7,-107.75874820555,37.9880188505061,3572,SJ
1.3,-107.757921242598,37.9872529083041,3579,DO
